Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/koond,2952,248,410.0,2269.7442179194936,262.34850008040667,12160.161399981007,415.9756097560976,9.889845144544587,0.8308541991351821,410,560,5300,5400,6100,10000,10000,10000,12000,12000,12000
GET,/status,961,0,6,42.953584908917705,1.9753000233322382,2109.6443999558687,51.0,3.2195600216488307,0.0,6,10,13,15,20,27,150,2000,2100,2100,2100
,Aggregated,3913,248,370.0,1722.8631041134206,1.9753000233322382,12160.161399981007,326.34065934065933,13.109405166193419,0.8308541991351821,370,440,660,5000,5400,10000,10000,10000,12000,12000,12000
