Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764182092,50,,Aggregated,9.500000,2.200000,350,400,550,5300,5400,10000,10000,10000,10000,10000,10000,1760,131,350.0,1733.1827259065574,2.4472998920828104,10373.930600006133,326.41136363636366
1764182093,50,,Aggregated,10.500000,2.300000,350,410,550,5300,5400,10000,10000,10000,10000,10000,10000,1787,133,350.0,1733.455216449414,2.4472998920828104,10373.930600006133,326.32848349188583
1764182094,50,,Aggregated,11.600000,2.500000,350,400,520,5300,5400,10000,10000,10000,10000,10000,10000,1808,133,350.0,1716.1599968999687,2.4472998920828104,10373.930600006133,325.7765486725664
1764182095,50,,Aggregated,12.600000,2.000000,350,400,510,5300,5400,10000,10000,10000,10000,10000,10000,1832,133,350.0,1696.567221012553,2.4472998920828104,10373.930600006133,324.7882096069869
1764182096,50,,Aggregated,14.300000,1.700000,350,400,490,2500,5400,10000,10000,10000,10000,10000,10000,1855,133,350.0,1679.3382359540587,2.4472998920828104,10373.930600006133,324.9644204851752
1764182097,50,,Aggregated,15.200000,1.500000,350,400,490,2500,5400,10000,10000,10000,10000,10000,10000,1869,133,350.0,1668.878485604751,2.4472998920828104,10373.930600006133,325.0781166399144
1764182098,50,,Aggregated,16.700000,1.300000,350,400,480,2500,5400,10000,10000,10000,10000,10000,10000,1890,133,350.0,1653.2187651826819,2.4472998920828104,10373.930600006133,324.75873015873015
1764182099,50,,Aggregated,18.000000,1.300000,350,400,480,2400,5400,10000,10000,10000,10000,10000,10000,1906,133,350.0,1641.2524294834006,2.4472998920828104,10373.930600006133,324.3913955928646
1764182100,50,,Aggregated,19.000000,1.300000,350,400,480,2400,5400,10000,10000,10000,10000,10000,10000,1915,133,350.0,1634.8491670470198,2.4472998920828104,10373.930600006133,324.45169712793734
1764182101,50,,Aggregated,19.900000,1.200000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1927,133,350.0,1626.1201595721286,2.4472998920828104,10373.930600006133,324.27659574468083
1764182102,50,,Aggregated,19.500000,0.900000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1933,133,350.0,1621.82009420348,2.4472998920828104,10373.930600006133,324.18986032074497
1764182103,50,,Aggregated,18.900000,0.400000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1944,133,350.0,1617.131284359625,2.4472998920828104,10373.930600006133,324.3477366255144
1764182104,50,,Aggregated,17.900000,0.200000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1955,133,350.0,1620.1584437315394,2.4472998920828104,10373.930600006133,324.50383631713555
1764182105,50,,Aggregated,16.300000,0.200000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1966,133,350.0,1617.6051732428875,2.4472998920828104,10373.930600006133,324.28382502543235
1764182106,50,,Aggregated,15.000000,0.000000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1982,133,350.0,1618.798321440504,2.4472998920828104,10373.930600006133,323.93440968718465
1764182107,50,,Aggregated,13.900000,0.000000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,1986,133,350.0,1615.7400778927142,2.4472998920828104,10373.930600006133,323.56998992950656
1764182108,50,,Aggregated,12.800000,0.000000,350,400,470,2400,5400,10000,10000,10000,10000,10000,10000,2000,136,350.0,1628.723245847621,2.4472998920828104,10373.930600006133,323.816
1764182109,50,,Aggregated,12.400000,0.000000,350,400,470,2500,5400,10000,10000,10000,10000,10000,10000,2011,141,350.0,1646.0294424642334,2.4472998920828104,10373.930600006133,324.0641471904525
1764182110,50,,Aggregated,11.300000,0.000000,350,400,480,2500,5400,10000,10000,10000,10000,10000,10000,2023,148,350.0,1672.2368499729323,2.4472998920828104,10373.930600006133,324.3208106772121
1764182111,50,,Aggregated,10.700000,0.400000,350,400,480,2500,5400,10000,10000,10000,10000,10000,10000,2031,148,350.0,1671.4007509085898,2.4472998920828104,10373.930600006133,324.15017232890204
1764182112,50,,Aggregated,10.800000,0.900000,350,400,480,2500,5400,10000,10000,10000,10000,10000,10000,2039,148,350.0,1668.449508580514,2.4472998920828104,10373.930600006133,324.1613536047082
1764182113,50,,Aggregated,10.900000,1.500000,350,400,480,2500,5400,10000,10000,10000,10000,10000,10000,2052,149,350.0,1669.486498341035,2.4472998920828104,10373.930600006133,324.2066276803119
1764182114,50,,Aggregated,10.500000,1.500000,350,400,480,5300,5400,10000,10000,10000,10000,10000,10000,2065,149,350.0,1677.8604998526143,2.4472998920828104,10373.930600006133,324.26876513317194
1764182115,50,,Aggregated,10.600000,1.500000,350,400,480,5300,5400,10000,10000,10000,10000,10000,10000,2074,150,350.0,1681.3218091589174,2.4472998920828104,10373.930600006133,324.13018322082934
1764182116,50,,Aggregated,10.400000,1.600000,350,400,480,5300,5400,10000,10000,10000,10000,10000,10000,2084,151,350.0,1683.8524743743444,2.4472998920828104,10373.930600006133,324.0383877159309
1764182117,50,,Aggregated,11.300000,1.700000,350,400,480,5300,5400,10000,10000,10000,10000,10000,10000,2099,153,350.0,1687.4917459723208,2.4472998920828104,10373.930600006133,323.6307765602668
1764182118,50,,Aggregated,10.900000,1.700000,350,400,480,5300,5400,10000,10000,10000,10000,10000,10000,2117,157,350.0,1698.6810014151824,2.4472998920828104,10373.930600006133,323.50448748228627
1764182119,50,,Aggregated,10.500000,1.800000,350,400,490,5300,5400,10000,10000,10000,10000,10000,10000,2129,158,350.0,1704.8891142771627,2.4472998920828104,10373.930600006133,323.6801315171442
1764182120,50,,Aggregated,11.200000,2.000000,350,400,490,5300,5400,10000,10000,10000,10000,10000,10000,2136,158,350.0,1705.3577730319662,2.4472998920828104,10373.930600006133,323.30337078651684
1764182121,50,,Aggregated,11.600000,2.000000,350,400,490,5300,5400,10000,10000,10000,10000,10000,10000,2145,159,350.0,1707.9951594388308,2.4472998920828104,10373.930600006133,323.34498834498834
1764182122,50,,Aggregated,11.700000,1.600000,350,400,510,5300,5400,10000,10000,10000,10000,10000,10000,2154,161,350.0,1718.4498611402662,2.4472998920828104,10373.930600006133,323.1987000928505
1764182123,50,,Aggregated,10.800000,1.000000,350,400,510,5300,5400,10000,10000,10000,10000,10000,10000,2161,161,350.0,1717.363010039954,2.4472998920828104,10373.930600006133,322.82785747339193
1764182124,50,,Aggregated,11.700000,1.300000,350,410,520,5300,5400,10000,10000,10000,10000,10000,10000,2166,161,350.0,1723.228630931108,2.4472998920828104,10373.930600006133,323.0498614958449
1764182125,50,,Aggregated,11.400000,1.300000,350,410,550,5300,5400,10000,10000,10000,10000,10000,10000,2174,161,350.0,1743.7944430067514,2.4472998920828104,10373.930600006133,323.4029438822447
1764182126,50,,Aggregated,10.700000,1.200000,350,410,850,5300,5400,10000,10000,10000,10000,10000,10000,2202,161,350.0,1774.7684836951842,2.4472998920828104,10373.930600006133,324.1171662125341
1764182127,50,,Aggregated,9.700000,1.100000,350,410,1000,5300,5400,10000,10000,10000,10000,10000,10000,2224,161,350.0,1768.7622839013338,2.4472998920828104,10373.930600006133,324.228417266187
1764182128,50,,Aggregated,9.900000,1.100000,350,410,940,5300,5400,10000,10000,10000,10000,10000,10000,2236,161,350.0,1760.668285016332,2.4472998920828104,10373.930600006133,324.07871198568876
1764182129,50,,Aggregated,12.500000,1.000000,350,410,810,5000,5400,10000,10000,10000,10000,10000,10000,2264,161,350.0,1743.619856932867,2.329399809241295,10373.930600006133,324.7650176678445
1764182130,50,,Aggregated,12.100000,0.800000,350,410,600,4900,5400,10000,10000,10000,10000,10000,10000,2282,161,350.0,1732.1805254148937,2.329399809241295,10373.930600006133,324.7020157756354
